threads	omp-threads	generations	exchange-interval	exchange-count	pop-count	pop-size	elite	mutant	rhoe	decode	instance	seed	log-step	ans	elapsed	convergence	tool	problem	commit	system	cpu	host-memory	gpu	gpu-memory	nvcc	g++
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	1	25	137048.000000	6.687643	[172424.000000,154038.000000,147850.000000,145487.000000,144970.000000,144506.000000,144137.000000,143948.000000,143160.000000,142512.000000,141861.000000,141408.000000,141013.000000,140104.000000,139804.000000,139031.000000,139031.000000,138861.000000,138861.000000,138716.000000,138683.000000,138628.000000,138591.000000,138264.000000,138264.000000,138191.000000,138045.000000,138043.000000,137952.000000,137697.000000,137647.000000,137642.000000,137642.000000,137439.000000,137439.000000,137263.000000,137224.000000,137084.000000,137084.000000,137048.000000,137048.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	2	25	139151.000000	6.681377	[171784.000000,157666.000000,150849.000000,149796.000000,148914.000000,147892.000000,147384.000000,145456.000000,145259.000000,144488.000000,144228.000000,143666.000000,143635.000000,143346.000000,143082.000000,142791.000000,142791.000000,142402.000000,142402.000000,142157.000000,142157.000000,142072.000000,142030.000000,141736.000000,141736.000000,141443.000000,141443.000000,141280.000000,141248.000000,140985.000000,140957.000000,140827.000000,140827.000000,140101.000000,139981.000000,139885.000000,139743.000000,139680.000000,139679.000000,139646.000000,139151.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	3	25	137940.000000	6.952755	[171668.000000,156975.000000,149080.000000,147798.000000,146829.000000,145598.000000,144988.000000,142884.000000,142305.000000,141933.000000,141695.000000,140550.000000,140550.000000,140248.000000,140097.000000,139783.000000,139723.000000,139431.000000,139431.000000,139358.000000,139313.000000,139129.000000,139129.000000,138761.000000,138759.000000,138552.000000,138552.000000,138326.000000,138326.000000,138280.000000,138280.000000,138195.000000,138055.000000,138055.000000,138055.000000,138055.000000,138044.000000,137993.000000,137991.000000,137940.000000,137940.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	4	25	136557.000000	6.705812	[171573.000000,157008.000000,145887.000000,145085.000000,144183.000000,142824.000000,142795.000000,141991.000000,141497.000000,140658.000000,140471.000000,139989.000000,139413.000000,139197.000000,139135.000000,138837.000000,138557.000000,138263.000000,138263.000000,138239.000000,138216.000000,137999.000000,137962.000000,137404.000000,137375.000000,137139.000000,137139.000000,137040.000000,137026.000000,136913.000000,136913.000000,136785.000000,136785.000000,136680.000000,136673.000000,136557.000000,136557.000000,136557.000000,136557.000000,136557.000000,136557.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	5	25	135255.000000	6.561001	[173517.000000,155423.000000,149644.000000,147211.000000,145778.000000,144795.000000,144021.000000,143670.000000,142460.000000,142002.000000,141704.000000,141059.000000,140833.000000,139770.000000,139691.000000,139317.000000,139283.000000,138113.000000,138070.000000,137975.000000,137889.000000,137544.000000,137277.000000,137229.000000,136999.000000,136750.000000,136750.000000,136621.000000,136515.000000,136479.000000,136196.000000,136156.000000,136065.000000,135789.000000,135715.000000,135488.000000,135488.000000,135385.000000,135380.000000,135380.000000,135255.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	6	25	138001.000000	6.568182	[172205.000000,156155.000000,150033.000000,148774.000000,148085.000000,147096.000000,145481.000000,144257.000000,144179.000000,144132.000000,143371.000000,143360.000000,143156.000000,142352.000000,141906.000000,141888.000000,141814.000000,141793.000000,141611.000000,141536.000000,141372.000000,140975.000000,140725.000000,140332.000000,140332.000000,140083.000000,140083.000000,139381.000000,139381.000000,138977.000000,138977.000000,138679.000000,138515.000000,138341.000000,138139.000000,138033.000000,138033.000000,138033.000000,138032.000000,138032.000000,138001.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	7	25	138489.000000	6.586730	[173335.000000,153887.000000,148040.000000,147104.000000,146871.000000,146383.000000,146144.000000,144784.000000,144165.000000,144057.000000,143757.000000,142707.000000,142586.000000,142256.000000,142051.000000,141795.000000,141251.000000,140851.000000,140630.000000,140458.000000,140428.000000,140422.000000,140210.000000,140033.000000,139891.000000,139852.000000,139810.000000,139791.000000,139791.000000,139781.000000,139730.000000,139633.000000,139625.000000,139452.000000,139452.000000,139275.000000,139119.000000,138773.000000,138620.000000,138489.000000,138489.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	8	25	136452.000000	6.598685	[171922.000000,158547.000000,151034.000000,149625.000000,147489.000000,146746.000000,146490.000000,146094.000000,145994.000000,145342.000000,145153.000000,144762.000000,144066.000000,143132.000000,142828.000000,142580.000000,142088.000000,141646.000000,141521.000000,141164.000000,141015.000000,140306.000000,139775.000000,138981.000000,138699.000000,138063.000000,138061.000000,137998.000000,137814.000000,137388.000000,137241.000000,137034.000000,137000.000000,136862.000000,136701.000000,136538.000000,136538.000000,136517.000000,136468.000000,136452.000000,136452.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	9	25	136293.000000	6.531986	[172060.000000,154783.000000,146077.000000,145481.000000,145093.000000,144188.000000,143471.000000,142243.000000,141374.000000,139811.000000,139670.000000,139581.000000,139435.000000,139193.000000,139193.000000,139029.000000,138931.000000,138811.000000,138799.000000,138460.000000,138446.000000,138135.000000,137873.000000,137551.000000,137551.000000,137202.000000,137024.000000,136830.000000,136713.000000,136675.000000,136675.000000,136649.000000,136640.000000,136593.000000,136592.000000,136564.000000,136402.000000,136397.000000,136397.000000,136293.000000,136293.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
256	16	1000	50	2	3	256	0.1	0.1	0.75	cpu	X-n219-k73	10	25	138410.000000	6.588646	[173014.000000,157413.000000,150076.000000,147996.000000,147445.000000,147151.000000,146823.000000,146314.000000,145887.000000,145561.000000,145275.000000,144822.000000,144678.000000,143489.000000,143416.000000,141863.000000,141124.000000,140770.000000,140603.000000,140298.000000,140298.000000,140062.000000,139898.000000,139661.000000,139600.000000,139600.000000,139450.000000,139360.000000,139351.000000,139101.000000,138994.000000,138902.000000,138902.000000,138681.000000,138681.000000,138596.000000,138596.000000,138586.000000,138487.000000,138410.000000,138410.000000]	brkga-api	cvrp	51d7febd681802d176f02d9da07162534b14e755	#90-Ubuntu SMP Fri Jul 9 22:49:44 UTC 2021	Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz	64020MiB	NVIDIA Corporation GP104 [GeForce GTX 1070] (rev a1)	GP104 [GeForce GTX 1070]	V11.2.152	g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0
