Instance Name,	 brkga-tsp-1 Value,	 brkga-tsp-1 Time,	 brkga-tsp-4 Value,	 brkga-tsp-4 Time,	 brkga-tsp-8 Value,	 brkga-tsp-8 Time,	 cuda-device Value,	 cuda-device Time
zi929.tsp.result,	 932403.19, 34.20, 932403.19, 15.81, 932403.19, 16.38, 948092.81, 5.75
lu980.tsp.result,	 137043.38, 36.11, 137043.38, 16.69, 137043.38, 17.26, 126053.04, 5.88 
rw1621.tsp.result,	 587952.88, 63.64, 587952.88, 28.54, 587952.88, 29.29, 579833.19, 9.86 
mu1979.tsp.result,	 2548211.50, 79.01, 2548211.50, 35.18, 2548211.50, 36.06, 2465718.00, 11.90 
nu3496.tsp.result,	 3200853.75, 147.17, 3200853.75, 63.98, 3200853.75, 64.35, 3200197.50, 20.86 
ca4663.tsp.result,	 70627200.00, 200.46, 70627200.00, 86.38, 70627200.00, 86.27, 70621040.00, 29.15 
tz6117.tsp.result,	 20244162.00, 270.33, 20244162.00, 114.87, 20244162.00, 114.70, 20468628.00, 38.18 
eg7146.tsp.result,	 9340685.00, 319.88, 9340685.00, 134.86, 9340685.00, 132.16, 9406424.00, 44.39
ym7663.tsp.result,	 13156370.00, 345.11, 13156370.00, 144.96, 13156370.00, 144.02, 12508235.00, 47.88 
pm8079.tsp.result,	 7937487.00, 365.69, 7937487.00, 153.54, 7937487.00, 145.33, 7895304.00, 50.68
ei8246.tsp.result,	 10408383.00, 373.29, 10408383.00, 156.43, 10408383.00, 155.85, 10367363.00, 52.55 
ar9152.tsp.result,	 54301180.00, 418.17, 54301180.00, 174.57, 54301180.00, 168.10, 53765484.00, 57.55 
ja9847.tsp.result,	 48480740.00, 451.81, 48480740.00, 188.34, 48480740.00, 178.91, 48044316.00, 63.20 
gr9882.tsp.result,	 21154658.00, 453.73, 21154658.00, 188.98, 21154658.00, 180.10, 21144074.00, 62.84 
kz9976.tsp.result,	 90703736.00, 458.18, 90703736.00, 190.93, 90703736.00, 180.74, 86311328.00, 62.52 
fi10639.tsp.result,	 30736370.00, 492.39, 30736370.00, 204.77, 30736370.00, 192.63, 30961720.00, 68.22 
mo14185.tsp.result,	 34199256.00, 672.70, 34199256.00, 276.75, 34199256.00, 266.27, 33993396.00, 90.68 
ho14473.tsp.result,	 16671520.00, 687.06, 16671520.00, 282.00, 16671520.00, 270.26, 16695521.00, 92.50 
it16862.tsp.result,	 54033320.00, 813.42, 54033320.00, 332.41, 54033320.00, 299.07, 53788440.00, 109.53 
vm22775.tsp.result,	 94026648.00, 1121.45, 94026648.00, 454.11, 94026648.00, 409.80, 94970560.00, 148.94 
sw24978.tsp.result,	 90368224.00, 1243.65, 90368224.00, 501.52, 90368224.00, 448.05, 90397880.00, 163.08 
bm33708.tsp.result,	 118205640.00, 1718.03, 118205640.00, 690.18, 118205640.00, 614.73, 117965896.00, 234.48 
